prediction,label
0.0,0
0.9830508474576272,0
0.9830508474576272,0
0.9830508474576272,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.9893048128342246,0
0.9893048128342246,0
0.75,0
0.0,0
0.82,0
0.7777777777777778,0
0.7777777777777778,0
0.0,0
0.82,0
0.0,0
0.8235294117647058,0
0.8235294117647058,0
0.0,0
0.0,0
0.0,0
0.6666666666666666,0
0.11764705882352941,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.5714285714285714,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.08333333333333333,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.11764705882352941,0
0.0,0
0.0,0
0.0,0
0.08333333333333333,0
0.08333333333333333,0
0.7317073170731707,0
0.42857142857142855,0
0.0,0
0.0,0
0.7317073170731707,0
0.0,0
0.0,0
0.0,0
0.8235294117647058,0
0.8235294117647058,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.11764705882352941,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.7317073170731707,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.08333333333333333,0
0.08333333333333333,0
0.0,0
0.0,0
0.0,0
0.0,0
0.42857142857142855,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.9830508474576272,1
0.7777777777777778,1
0.9893048128342246,1
0.9893048128342246,1
1.0,1
0.9830508474576272,1
0.9830508474576272,1
0.8235294117647058,1
0.8235294117647058,1
0.9830508474576272,1
0.9830508474576272,1
0.9830508474576272,1
0.9830508474576272,1
0.9893048128342246,1
0.9893048128342246,1
0.9830508474576272,1
0.9893048128342246,1
0.9893048128342246,1
0.9893048128342246,1
0.9893048128342246,1
0.82,1
0.9893048128342246,1
0.9893048128342246,1
0.9893048128342246,1
0.9893048128342246,1
0.9893048128342246,1
0.9893048128342246,1
0.9893048128342246,1
0.9830508474576272,1
0.9893048128342246,1
0.82,1
0.9893048128342246,1
0.9830508474576272,1
0.9893048128342246,1
0.9893048128342246,1
0.9893048128342246,1
0.9893048128342246,1
0.9893048128342246,1
0.9893048128342246,1
0.8235294117647058,1
0.9893048128342246,1
0.9893048128342246,1
0.82,1
0.9893048128342246,1
0.9893048128342246,1
0.9893048128342246,1
0.82,1
0.82,1
0.82,1
0.82,1
0.7777777777777778,1
0.9893048128342246,1
0.9893048128342246,1
0.9893048128342246,1
0.9893048128342246,1
0.9893048128342246,1
0.9893048128342246,1
0.9893048128342246,1
0.9893048128342246,1
0.9893048128342246,1
0.9830508474576272,1
0.82,1
0.82,1
0.8235294117647058,1
0.11764705882352941,1
0.9830508474576272,1
0.82,1
0.82,1
0.7317073170731707,1
0.5714285714285714,1
0.82,1
0.7317073170731707,1
0.7317073170731707,1
0.7317073170731707,1
1.0,1
1.0,1
0.7317073170731707,1
1.0,1
0.0,1
0.0,1
0.0,1
0.42857142857142855,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
0.08333333333333333,1
0.9830508474576272,1
1.0,1
1.0,1
1.0,1
1.0,1
